CPRO;CMUN;DC;NOMBRE
47;001;4;Adalia
47;002;9;Aguasal
47;003;5;Aguilar de Campos
47;004;0;Alaejos
47;005;3;Alcazarén
47;006;6;Aldea de San Miguel
47;007;2;Aldeamayor de San Martín
47;008;8;Almenara de Adaja
47;009;1;Amusquillo
47;010;5;Arroyo de la Encomienda
47;011;2;Ataquines
47;012;7;Bahabón
47;013;3;Barcial de la Loma
47;014;8;Barruelo del Valle
47;015;1;Becilla de Valderaduey
47;016;4;Benafarces
47;017;0;Bercero
47;018;6;Berceruelo
47;019;9;Berrueces
47;020;3;Bobadilla del Campo
47;021;0;Bocigas
47;022;5;Bocos de Duero
47;023;1;Boecillo
47;024;6;Bolaños de Campos
47;025;9;Brahojos de Medina
47;026;2;Bustillo de Chaves
47;027;8;Cabezón de Pisuerga
47;028;4;Cabezón de Valderaduey
47;029;7;Cabreros del Monte
47;030;1;Campaspero
47;031;8;Campillo, El
47;032;3;Camporredondo
47;033;9;Canalejas de Peñafiel
47;034;4;Canillas de Esgueva
47;035;7;Carpio
47;036;0;Casasola de Arión
47;037;6;Castrejón de Trabancos
47;038;2;Castrillo de Duero
47;039;5;Castrillo-Tejeriego
47;040;9;Castrobol
47;041;6;Castrodeza
47;042;1;Castromembibre
47;043;7;Castromonte
47;044;2;Castronuevo de Esgueva
47;045;5;Castronuño
47;046;8;Castroponce
47;047;4;Castroverde de Cerrato
47;048;0;Ceinos de Campos
47;049;3;Cervillego de la Cruz
47;050;6;Cigales
47;051;3;Ciguñuela
47;052;8;Cistérniga
47;053;4;Cogeces de Íscar
47;054;9;Cogeces del Monte
47;055;2;Corcos
47;056;5;Corrales de Duero
47;057;1;Cubillas de Santa Marta
47;058;7;Cuenca de Campos
47;059;0;Curiel de Duero
47;060;4;Encinas de Esgueva
47;061;1;Esguevillas de Esgueva
47;062;6;Fombellida
47;063;2;Fompedraza
47;064;7;Fontihoyuelo
47;065;0;Fresno el Viejo
47;066;3;Fuensaldaña
47;067;9;Fuente el Sol
47;068;5;Fuente-Olmedo
47;069;8;Gallegos de Hornija
47;070;2;Gatón de Campos
47;071;9;Geria
47;073;0;Herrín de Campos
47;074;5;Hornillos de Eresma
47;075;8;Íscar
47;076;1;Laguna de Duero
47;077;7;Langayo
47;079;6;Llano de Olmedo
47;078;3;Lomoviejo
47;080;0;Manzanillo
47;081;7;Marzales
47;082;2;Matapozuelos
47;083;8;Matilla de los Caños
47;084;3;Mayorga
47;086;9;Medina de Rioseco
47;085;6;Medina del Campo
47;087;5;Megeces
47;088;1;Melgar de Abajo
47;089;4;Melgar de Arriba
47;090;8;Mojados
47;091;5;Monasterio de Vega
47;092;0;Montealegre de Campos
47;093;6;Montemayor de Pililla
47;094;1;Moral de la Reina
47;095;4;Moraleja de las Panaderas
47;096;7;Morales de Campos
47;097;3;Mota del Marqués
47;098;9;Mucientes
47;099;2;Mudarra, La
47;100;6;Muriel
47;101;3;Nava del Rey
47;102;8;Nueva Villa de las Torres
47;103;4;Olivares de Duero
47;104;9;Olmedo
47;105;2;Olmos de Esgueva
47;106;5;Olmos de Peñafiel
47;109;0;Palazuelo de Vedija
47;110;4;Parrilla, La
47;111;1;Pedraja de Portillo, La
47;112;6;Pedrajas de San Esteban
47;113;2;Pedrosa del Rey
47;114;7;Peñafiel
47;115;0;Peñaflor de Hornija
47;116;3;Pesquera de Duero
47;117;9;Piña de Esgueva
47;118;5;Piñel de Abajo
47;119;8;Piñel de Arriba
47;121;9;Pollos
47;122;4;Portillo
47;123;0;Pozal de Gallinas
47;124;5;Pozaldez
47;125;8;Pozuelo de la Orden
47;126;1;Puras
47;127;7;Quintanilla de Arriba
47;129;6;Quintanilla de Onésimo
47;130;0;Quintanilla de Trigueros
47;128;3;Quintanilla del Molar
47;131;7;Rábano
47;132;2;Ramiro
47;133;8;Renedo de Esgueva
47;134;3;Roales de Campos
47;135;6;Robladillo
47;137;5;Roturas
47;138;1;Rubí de Bracamonte
47;139;4;Rueda
47;140;8;Saelices de Mayorga
47;141;5;Salvador de Zapardiel
47;142;0;San Cebrián de Mazote
47;143;6;San Llorente
47;144;1;San Martín de Valvení
47;145;4;San Miguel del Arroyo
