DESC_PROVINCIA,CENTRO_EXAMEN,CODIGO_AUTOESCUELA,NOMBRE_AUTOESCUELA,CODIGO_SECCION,MES,ANYO,TIPO_EXAMEN,NOMBRE_PERMISO,NUM_APTOS,NUM_APTOS_1conv,NUM_APTOS_2conv,NUM_APTOS_3o4conv,NUM_APTOS_5_o_mas_conv,NUM_NO_APTOS
Albacete,Albacete,AB0198,ALARCON,1,6,2017,PRUEBA TEÓRICA,B  ,3,2,1,0,0,0
Albacete,Albacete,AB0198,ALARCON,1,6,2017,PRUEBA CONDUCCIÓN Y CIRCULACIÓN,B  ,4,2,1,1,0,2
Albacete,Albacete,AB0220,ALBA,1,6,2017,PRUEBA CONDUCCIÓN Y CIRCULACIÓN,EC ,1,1,0,0,0,0
Albacete,Albacete,AB0220,ALBA,1,6,2017,PRUEBA CONDUCCIÓN Y CIRCULACIÓN,A2 ,2,1,1,0,0,0
Albacete,Albacete,AB0220,ALBA,1,6,2017,PRUEBA ESPECÍFICO,A2 ,2,2,0,0,0,0
Albacete,Albacete,AB0220,ALBA,1,6,2017,PRUEBA DESTREZA,EC ,1,1,0,0,0,0
Albacete,Albacete,AB0220,ALBA,1,6,2017,PRUEBA TEÓRICA,B  ,1,1,0,0,0,0
Albacete,Albacete,AB0220,ALBA,1,6,2017,PRUEBA DESTREZA,C  ,0,0,0,0,0,1
Albacete,Albacete,AB0220,ALBA,1,6,2017,PRUEBA CONDUCCIÓN Y CIRCULACIÓN,B  ,2,0,1,1,0,1
Albacete,Albacete,AB0220,ALBA,2,6,2017,PRUEBA CONDUCCIÓN Y CIRCULACIÓN,C  ,0,0,0,0,0,1
Albacete,Albacete,AB0220,ALBA,2,6,2017,PRUEBA CONDUCCIÓN Y CIRCULACIÓN,B  ,3,1,1,0,1,1
Albacete,Albacete,AB0220,ALBA,2,6,2017,PRUEBA CONDUCCIÓN Y CIRCULACIÓN,A2 ,1,1,0,0,0,0
Albacete,Albacete,AB0220,ALBA,2,6,2017,PRUEBA ESPECÍFICO,C  ,1,1,0,0,0,0
Albacete,Albacete,AB0220,ALBA,2,6,2017,PRUEBA DESTREZA,C  ,1,1,0,0,0,1
Albacete,Albacete,AB0063,ALMIRO,1,6,2017,PRUEBA ESPECÍFICO,D  ,1,1,0,0,0,0
Albacete,Albacete,AB0063,ALMIRO,1,6,2017,PRUEBA ESPECÍFICO,C  ,1,1,0,0,0,0
Albacete,Albacete,AB0063,ALMIRO,1,6,2017,PRUEBA DESTREZA,C  ,1,0,1,0,0,0
Albacete,Albacete,AB0063,ALMIRO,1,6,2017,PRUEBA TEÓRICA,B  ,2,1,0,0,1,4
Albacete,Albacete,AB0063,ALMIRO,5,6,2017,PRUEBA CONDUCCIÓN Y CIRCULACIÓN,A2 ,1,1,0,0,0,0
Albacete,Albacete,AB0063,ALMIRO,5,6,2017,PRUEBA TEÓRICA,B  ,1,1,0,0,0,0
Albacete,Albacete,AB0063,ALMIRO,5,6,2017,PRUEBA DESTREZA,A2 ,1,1,0,0,0,0
Albacete,Albacete,AB0203,APTO TRAINING,1,6,2017,PRUEBA CONDUCCIÓN Y CIRCULACIÓN,A2 ,1,1,0,0,0,0
